ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
35,BI,Peraturan Anggota Dewan Gubernur Nomor 15 Tahun 2024 Tentang Perubahan Atas Peraturan Anggota Dewan Gubernur Nomor 23/16/PADG/2021 Tentang Penyelesaian Transaksi Bilateral Antara Indonesia dan Tiongkok Menggunakan Rupiah dan Yuan Melalui Bank,10 Oktober 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_152024.aspx,2024-10-11 13:30:11.161145,Peraturan Anggota Dewan Gubernur Nomor 15 Tahun 2024,Perubahan Atas Peraturan Anggota Dewan Gubernur Nomor 23/16/PADG/2021 Tentang Penyelesaian Transaksi Bilateral Antara Indonesia dan Tiongkok Menggunakan Rupiah dan Yuan Melalui Bank,SENT,,,
36,BI,Peraturan Anggota Dewan Gubernur No.14 Tahun 2024 tentang PerubahanKedua Atas Peraturan Anggota Dewan Gubernur Nomor 22/20/PADG/2020 tentangPenyelesaian Transaksi Bilateral Antara Indonesia dan Jepang Menggunakan Rupiahdan Yen Melalui Bank.,10 Oktober 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_142024.aspx,2024-10-11 13:30:11.161145,Peraturan Anggota Dewan Gubernur No.14 Tahun 2024,PerubahanKedua Atas Peraturan Anggota Dewan Gubernur Nomor 22/20/PADG/2020 tentangPenyelesaian Transaksi Bilateral Antara Indonesia dan Jepang Menggunakan Rupiahdan Yen Melalui Bank.,SENT,,,
37,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 10/SEOJK.05/2024 tentang Mekanisme dan Tata Cara Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi,9/27/2024,ojk.go.id/id/regulasi/Pages/Mekanisme-dan-Tata-Cara-Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-10SEOJK052024.aspx,2024-10-11 14:00:03.596640,Surat Edaran Otoritas Jasa Keuangan Nomor 10/SEOJK.05/2024​,Mekanisme dan Tata Cara Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi​.,SENT,,,
38,OJK,"Surat Edaran Otoritas Jasa Keuangan Nomor 9/SEOJK.05/2024 tentang Penilaian Kualitas atas Tagihan Subrogasi, Kegiatan Penjaminan, dan Suretyship",9/27/2024,"ojk.go.id/id/regulasi/Pages/Penilaian-Kualitas-atas-Tagihan-Subrogasi,-Kegiatan-Penjaminan,-dan-Suretyship-9SEOJK052024.aspx",2024-10-11 14:00:03.596640,​Surat Edaran Otoritas Jasa Keuangan Nomor 9/SEOJK.05/2024​,"Penilaian Kualitas Atas Tagihan Subrogasi, Kegiatan Penjaminan, dan Suretyship",SENT,,,
39,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 11/SEOJK.01/2024 tentang Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan,10/2/2024,ojk.go.id/id/regulasi/Pages/Pelaporan-dan-Permintaan-Informasi-Debitur-Melalui-Sistem-Layanan-Informasi-Keuangan-11-SEOJK01-2024.aspx,2024-10-22 09:30:02.954133,​Surat Edaran Otoritas Jasa Keuangan Nomor 11/SEOJK.01/2024,Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan.,SENT,,,
40,LPS,PLPS Nomor 4 Tahun 2024 tentang Pelaporan Data Penjaminan Simpanan Berbasis Nasabah Bank,22 Okt 2024,https://lps.go.id/plps-nomor-4-tahun-2024/,2024-10-22 15:07:38.058087,PLPS Nomor 4 Tahun 2024,Pelaporan Data Penjaminan Simpanan Berbasis Nasabah Bank,SENT,,,
41,LPS,PLPS Nomor 3 tahun 2024 tentang Laporan Bank Peserta Penjaminan Simpanan,09 Okt 2024,https://lps.go.id/plps-nomor-3-tahun-2024-tentang-laporan-bank-peserta-penjaminan-simpanan/,2024-10-28 08:21:14.652700,PLPS Nomor 3 tahun 2024,Laporan Bank Peserta Penjaminan Simpanan,SENT,,,
42,OJK,Peraturan Otoritas Jasa Keuangan Nomor 15 Tahun 2024 tentang Integritas Pelaporan Keuangan Bank,10/9/2024,ojk.go.id/id/regulasi/Pages/POJK-15-Tahun-2024-Integritas-Pelaporan-Keuangan-Bank.aspx,2024-10-30 15:50:52.180708,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15 Tahun 2024,Integritas Pelaporan Keuangan Bank.,SENT,,,
43,OJK,Peraturan Otoritas Jasa Keuangan Nomor 14 Tahun 2024 tentang Satuan Tugas Penanganan Kegiatan Usaha.​,8/26/2024,ojk.go.id/id/regulasi/Pages/POJK-Tahun-14-2024-Satuan-Tugas-Penanganan-Kegiatan-Usaha-Tanpa-Izin-di-Sektor-Keuangan.aspx,2024-11-06 13:00:03.105094,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 14 Tahun 2024,Satuan Tugas Penanganan Kegiatan Usaha.​,SENT,,,
45,OJK,Peraturan Otoritas Jasa Keuangan Nomor 16 Tahun 2024 tentang Pengawasan PT Sarana Multi Infrastruktur (Persero),10/15/2024,ojk.go.id/id/regulasi/Pages/Pengawasan-PT-Sarana-Multi-Infrastruktur-Persero-POJK-16-2024.aspx,2024-11-06 16:20:46.442620,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 16 Tahun 2024,Pengawasan PT Sarana Multi Infrastruktur (Persero).,SENT,,,
